bairro,ips_2022,seguranca_2022,renda_2010
Saúde,58.191,89.902,759.86
Gamboa,55.544,97.937,567.86
Santo Cristo,52.848,90.102,633.85
Caju,61.969,91.885,469.61
Centro,60.485,49.426,1613.29
Estácio,57.062,93.909,936.19
Cidade Nova,50.427,50.021,1047.33
Catumbi,61.866,89.373,747.21
Rio Comprido,62.241,93.059,1160.76
Urca,71.791,99.257,3962.32
Catete,74.365,96.819,2572.7
Botafogo,75.144,95.262,3515.47
Humaitá,75.47,96.058,4090.99
Cosme Velho,70.042,99.062,3912.31
Glória,71.307,74.604,2599.45
Laranjeiras,77.469,97.149,3706.93
Flamengo,77.233,92.494,4015.56
Leme,73.218,95.91,3758.94
Copacabana,76.692,95.519,3583.24
Leblon,77.265,95.108,5489.7
Gávea,73.362,94.658,4269.78
Ipanema,76.862,91.78,5379.95
Lagoa,77.398,97.344,6676.23
Jardim Botânico,75.985,96.706,4762.32
São Conrado,74.462,93.735,5605.74
Vidigal,68.712,96.912,709.96
São Cristóvão,56.841,83.039,1209.9
Benfica,56.228,79.796,728.42
Mangueira,58.477,97.434,517.54
Vasco da Gama,66.2,99.91,826.32
Alto da Boa Vista,67.74,92.096,1582.11
Tijuca,72.148,95.681,2709.09
Praça da Bandeira,67.349,78.052,2122.64
Vila Isabel,69.767,97.119,2022.08
Andaraí,70.569,96.458,2002.75
Maracanã,73.455,90.978,2813.7
Grajaú,71.778,96.476,2300.57
Ramos,64.256,90.336,946.84
Manguinhos,59.783,93.834,417.81
Bonsucesso,52.232,46.642,1042.16
Olaria,65.717,95.718,1004.65
Penha,61.144,90.674,803.91
Brás de Pina,64.441,91.61,839.53
Penha Circular,64.745,93.083,926.56
Del Castilho,59.763,84.523,895.5
Maria da Graça,66.118,93.038,1278.17
Higienópolis,65.062,87.501,1123.91
Inhaúma,62.732,92.728,697.1
Tomás Coelho,61.54,90.221,774.76
Engenho da Rainha,62.672,92.204,823.58
Todos os Santos,71.129,97.202,1938.29
Lins de Vasconcelos,62.103,97.506,1245.16
Pilares,66.786,94.14,821.34
Sampaio,62.655,96.766,810.58
Riachuelo,68.064,88.253,1431.13
Rocha,59.025,88.129,1471.32
Encantado,65.98,85.834,1113.08
Abolição,66.573,91.545,1247.79
Engenho Novo,64.556,92.212,1168.65
Engenho de Dentro,66.809,92.68,1161.92
Água Santa,56.883,92.913,1169.6
Cachambi,67.971,91.062,1528.63
São Francisco Xavier,65.652,90.312,1255.81
Méier,67.803,87.88,2066.12
Jacaré,50.451,84.073,663.3
Piedade,66.546,92.472,1003.82
Vista Alegre,65.49,90.363,1207.9
Colégio,66.517,90.108,636.49
Vila Kosmos,69.532,96.437,1017.0
Irajá,66.223,91.018,1056.48
Vicente de Carvalho,62.489,83.174,725.29
Vila da Penha,71.232,91.271,1531.92
Quintino Bocaiúva,63.462,87.603,977.48
Vaz Lobo,61.747,92.313,729.4
Engenheiro Leal,59.66,91.317,669.02
Turiaçú,61.501,90.526,793.88
Marechal Hermes,65.129,94.222,862.51
Cavalcanti,61.947,82.912,615.04
Cascadura,61.913,86.347,919.29
Osvaldo Cruz,65.077,96.234,915.64
Campinho,64.987,90.935,1222.48
Honório Gurgel,63.555,90.658,709.46
Madureira,60.18,81.862,944.23
Bento Ribeiro,64.879,94.307,997.17
Rocha Miranda,63.61,88.677,793.04
Anil,66.478,88.108,1725.2
Freguesia (Jacarepaguá),69.196,97.742,1890.86
